"ID";"RegioS";"Naam_2";"SorteringNaam_3";"Naam_29"
"0";"GM1680    ";"Aa en Hunze                                       ";"Aa en Hunze                                       ";"Drenthe                                           "
"1";"GM0358    ";"Aalsmeer                                          ";"Aalsmeer                                          ";"Noord-Holland                                     "
"2";"GM0197    ";"Aalten                                            ";"Aalten                                            ";"Gelderland                                        "
"3";"GM0059    ";"Achtkarspelen                                     ";"Achtkarspelen                                     ";"Fryslân                                           "
"4";"GM0482    ";"Alblasserdam                                      ";"Alblasserdam                                      ";"Zuid-Holland                                      "
"5";"GM0613    ";"Albrandswaard                                     ";"Albrandswaard                                     ";"Zuid-Holland                                      "
"6";"GM0361    ";"Alkmaar                                           ";"Alkmaar                                           ";"Noord-Holland                                     "
"7";"GM0141    ";"Almelo                                            ";"Almelo                                            ";"Overijssel                                        "
"8";"GM0034    ";"Almere                                            ";"Almere                                            ";"Flevoland                                         "
"9";"GM0484    ";"Alphen aan den Rijn                               ";"Alphen aan den Rijn                               ";"Zuid-Holland                                      "
"10";"GM1723    ";"Alphen-Chaam                                      ";"Alphen+Chaam                                      ";"Noord-Brabant                                     "
"11";"GM1959    ";"Altena                                            ";"Altena                                            ";"Noord-Brabant                                     "
"12";"GM0060    ";"Ameland                                           ";"Ameland                                           ";"Fryslân                                           "
"13";"GM0307    ";"Amersfoort                                        ";"Amersfoort                                        ";"Utrecht                                           "
"14";"GM0362    ";"Amstelveen                                        ";"Amstelveen                                        ";"Noord-Holland                                     "
"15";"GM0363    ";"Amsterdam                                         ";"Amsterdam                                         ";"Noord-Holland                                     "
"16";"GM0200    ";"Apeldoorn                                         ";"Apeldoorn                                         ";"Gelderland                                        "
"17";"GM0202    ";"Arnhem                                            ";"Arnhem                                            ";"Gelderland                                        "
"18";"GM0106    ";"Assen                                             ";"Assen                                             ";"Drenthe                                           "
"19";"GM0743    ";"Asten                                             ";"Asten                                             ";"Noord-Brabant                                     "
"20";"GM0744    ";"Baarle-Nassau                                     ";"Baarle+Nassau                                     ";"Noord-Brabant                                     "
"21";"GM0308    ";"Baarn                                             ";"Baarn                                             ";"Utrecht                                           "
