ID;RegioS;Naam_2;SorteringNaam_3;Naam_29;ID;Gemeente;Provincie;Officiële Website (Publieksdienstverlening)
0;GM1680;Aa en Hunze                                       ;Aa en Hunze                                       ;Drenthe                                           ;0;Aa en Hunze;Drenthe;https://www.aaenhunze.nl
1;GM0358;Aalsmeer                                          ;Aalsmeer                                          ;Noord-Holland                                     ;1;Aalsmeer;Noord-Holland;https://www.aalsmeer.nl
2;GM0197;Aalten                                            ;Aalten                                            ;Gelderland                                        ;2;Aalten;Gelderland;https://www.aalten.nl
3;GM0059;Achtkarspelen                                     ;Achtkarspelen                                     ;Fryslân                                           ;3;Achtkarspelen;Fryslân;https://www.achtkarspelen.nl
4;GM0482;Alblasserdam                                      ;Alblasserdam                                      ;Zuid-Holland                                      ;4;Alblasserdam;Zuid-Holland;https://www.alblasserdam.nl
5;GM0613;Albrandswaard                                     ;Albrandswaard                                     ;Zuid-Holland                                      ;5;Albrandswaard;Zuid-Holland;https://www.albrandswaard.nl
6;GM0361;Alkmaar                                           ;Alkmaar                                           ;Noord-Holland                                     ;6;Alkmaar;Noord-Holland;https://www.alkmaar.nl
7;GM0141;Almelo                                            ;Almelo                                            ;Overijssel                                        ;7;Almelo;Overijssel;https://www.almelo.nl
8;GM0034;Almere                                            ;Almere                                            ;Flevoland                                         ;8;Almere;Flevoland;https://www.almere.nl
9;GM0484;Alphen aan den Rijn                               ;Alphen aan den Rijn                               ;Zuid-Holland                                      ;9;Alphen aan den Rijn;Zuid-Holland;https://www.alphenaandenrijn.nl
10;GM1723;Alphen-Chaam                                      ;Alphen+Chaam                                      ;Noord-Brabant                                     ;10;Alphen-Chaam;Noord-Brabant;https://www.alphen-chaam.nl
11;GM1959;Altena                                            ;Altena                                            ;Noord-Brabant                                     ;11;Altena;Noord-Brabant;https://www.gemeentealtena.nl
12;GM0060;Ameland                                           ;Ameland                                           ;Fryslân                                           ;12;Ameland;Fryslân;https://www.ameland.nl
13;GM0307;Amersfoort                                        ;Amersfoort                                        ;Utrecht                                           ;13;Amersfoort;Utrecht;https://www.amersfoort.nl
14;GM0362;Amstelveen                                        ;Amstelveen                                        ;Noord-Holland                                     ;14;Amstelveen;Noord-Holland;https://www.amstelveen.nl
15;GM0363;Amsterdam                                         ;Amsterdam                                         ;Noord-Holland                                     ;15;Amsterdam;Noord-Holland;https://www.amsterdam.nl
16;GM0200;Apeldoorn                                         ;Apeldoorn                                         ;Gelderland                                        ;16;Apeldoorn;Gelderland;https://www.apeldoorn.nl
17;GM0202;Arnhem                                            ;Arnhem                                            ;Gelderland                                        ;17;Arnhem;Gelderland;https://www.arnhem.nl
18;GM0106;Assen                                             ;Assen                                             ;Drenthe                                           ;18;Assen;Drenthe;https://www.assen.nl
19;GM0743;Asten                                             ;Asten                                             ;Noord-Brabant                                     ;19;Asten;Noord-Brabant;https://www.asten.nl
20;GM0744;Baarle-Nassau                                     ;Baarle+Nassau                                     ;Noord-Brabant                                     ;20;Baarle-Nassau;Noord-Brabant;https://www.baarle-nassau.nl
21;GM0308;Baarn                                             ;Baarn                                             ;Utrecht                                           ;21;Baarn;Utrecht;https://www.baarn.nl
22;GM0489;Barendrecht                                       ;Barendrecht                                       ;Zuid-Holland                                      ;22;Barendrecht;Zuid-Holland;https://www.barendrecht.nl
23;GM0203;Barneveld                                         ;Barneveld                                         ;Gelderland                                        ;23;Barneveld;Gelderland;https://www.barneveld.nl
24;GM0888;Beek (L.)                                         ;Beek (L.)                                         ;Limburg                                           ;24;Beek (L.);Limburg;https://www.beek.nl
25;GM1954;Beekdaelen                                        ;Beekdaelen                                        ;Limburg                                           ;25;Beekdaelen;Limburg;https://www.beekdaelen.nl
26;GM0889;Beesel                                            ;Beesel                                            ;Limburg                                           ;26;Beesel;Limburg;https://www.beesel.nl
27;GM1945;Berg en Dal                                       ;Berg en Dal                                       ;Gelderland                                        ;27;Berg en Dal;Gelderland;https://www.bergendal.nl
28;GM1724;Bergeijk                                          ;Bergeijk                                          ;Noord-Brabant                                     ;28;Bergeijk;Noord-Brabant;https://www.bergeijk.nl
29;GM0893;Bergen (L.)                                       ;Bergen (L.)                                       ;Limburg                                           ;29;Bergen (L.);Limburg;https://www.bergen.nl
30;GM0373;Bergen (NH.)                                      ;Bergen (NH.)                                      ;Noord-Holland                                     ;30;Bergen (NH.);Noord-Holland;https://www.bergen-nh.nl
31;GM0748;Bergen op Zoom                                    ;Bergen op Zoom                                    ;Noord-Brabant                                     ;31;Bergen op Zoom;Noord-Brabant;https://www.bergenopzoom.nl
32;GM1859;Berkelland                                        ;Berkelland                                        ;Gelderland                                        ;32;Berkelland;Gelderland;https://www.gemeenteberkelland.nl
33;GM1721;Bernheze                                          ;Bernheze                                          ;Noord-Brabant                                     ;33;Bernheze;Noord-Brabant;https://www.bernheze.org
34;GM0753;Best                                              ;Best                                              ;Noord-Brabant                                     ;34;Best;Noord-Brabant;https://www.gemeentebest.nl
35;GM0209;Beuningen                                         ;Beuningen                                         ;Gelderland                                        ;35;Beuningen;Gelderland;https://www.beuningen.nl
36;GM0375;Beverwijk                                         ;Beverwijk                                         ;Noord-Holland                                     ;36;Beverwijk;Noord-Holland;https://www.beverwijk.nl
37;GM0310;De Bilt                                           ;Bilt De                                           ;Utrecht                                           ;37;De Bilt;Utrecht;https://www.debilt.nl
38;GM1728;Bladel                                            ;Bladel                                            ;Noord-Brabant                                     ;38;Bladel;Noord-Brabant;https://www.bladel.nl
39;GM0376;Blaricum                                          ;Blaricum                                          ;Noord-Holland                                     ;39;Blaricum;Noord-Holland;https://www.blaricum.nl
40;GM0377;Bloemendaal                                       ;Bloemendaal                                       ;Noord-Holland                                     ;40;Bloemendaal;Noord-Holland;https://www.bloemendaal.nl
41;GM1901;Bodegraven-Reeuwijk                               ;Bodegraven+Reeuwijk                               ;Zuid-Holland                                      ;41;Bodegraven-Reeuwijk;Zuid-Holland;https://www.bodegraven-reeuwijk.nl
42;GM0755;Boekel                                            ;Boekel                                            ;Noord-Brabant                                     ;42;Boekel;Noord-Brabant;https://www.boekel.nl
43;GM1681;Borger-Odoorn                                     ;Borger+Odoorn                                     ;Drenthe                                           ;43;Borger-Odoorn;Drenthe;https://www.borger-odoorn.nl
44;GM0147;Borne                                             ;Borne                                             ;Overijssel                                        ;44;Borne;Overijssel;https://www.borne.nl
45;GM0654;Borsele                                           ;Borsele                                           ;Zeeland                                           ;45;Borsele;Zeeland;https://www.borsele.nl
46;GM0757;Boxtel                                            ;Boxtel                                            ;Noord-Brabant                                     ;46;Boxtel;Noord-Brabant;https://www.boxtel.nl
47;GM0758;Breda                                             ;Breda                                             ;Noord-Brabant                                     ;47;Breda;Noord-Brabant;https://www.breda.nl
48;GM1876;Bronckhorst                                       ;Bronckhorst                                       ;Gelderland                                        ;48;Bronckhorst;Gelderland;https://www.bronckhorst.nl
49;GM0213;Brummen                                           ;Brummen                                           ;Gelderland                                        ;49;Brummen;Gelderland;https://www.brummen.nl
50;GM0899;Brunssum                                          ;Brunssum                                          ;Limburg                                           ;50;Brunssum;Limburg;https://www.brunssum.nl
51;GM0312;Bunnik                                            ;Bunnik                                            ;Utrecht                                           ;51;Bunnik;Utrecht;https://www.bunnik.nl
52;GM0313;Bunschoten                                        ;Bunschoten                                        ;Utrecht                                           ;52;Bunschoten;Utrecht;https://www.bunschoten.nl
53;GM0214;Buren                                             ;Buren                                             ;Gelderland                                        ;53;Buren;Gelderland;https://www.buren.nl
54;GM0502;Capelle aan den IJssel                            ;Capelle aan den IJssel                            ;Zuid-Holland                                      ;54;Capelle aan den IJssel;Zuid-Holland;https://www.capelleaandenijssel.nl
55;GM0383;Castricum                                         ;Castricum                                         ;Noord-Holland                                     ;55;Castricum;Noord-Holland;https://www.castricum.nl
56;GM0109;Coevorden                                         ;Coevorden                                         ;Drenthe                                           ;56;Coevorden;Drenthe;https://www.coevorden.nl
57;GM1706;Cranendonck                                       ;Cranendonck                                       ;Noord-Brabant                                     ;57;Cranendonck;Noord-Brabant;https://www.cranendonck.nl
58;GM0216;Culemborg                                         ;Culemborg                                         ;Gelderland                                        ;58;Culemborg;Gelderland;https://www.culemborg.nl
59;GM0148;Dalfsen                                           ;Dalfsen                                           ;Overijssel                                        ;59;Dalfsen;Overijssel;https://www.dalfsen.nl
60;GM1891;Dantumadiel                                       ;Dantumadiel                                       ;Fryslân                                           ;60;Dantumadiel;Fryslân;https://www.dantumadiel.nl
61;GM0503;Delft                                             ;Delft                                             ;Zuid-Holland                                      ;61;Delft;Zuid-Holland;https://www.delft.nl
62;GM0762;Deurne                                            ;Deurne                                            ;Noord-Brabant                                     ;62;Deurne;Noord-Brabant;https://www.deurne.nl
63;GM0150;Deventer                                          ;Deventer                                          ;Overijssel                                        ;63;Deventer;Overijssel;https://www.deventer.nl
64;GM0384;Diemen                                            ;Diemen                                            ;Noord-Holland                                     ;64;Diemen;Noord-Holland;https://www.diemen.nl
65;GM1980;Dijk en Waard                                     ;Dijk+en+Waard                                     ;Noord-Holland                                     ;65;Dijk en Waard;Noord-Holland;https://www.dijkenwaard.nl
66;GM1774;Dinkelland                                        ;Dinkelland                                        ;Overijssel                                        ;66;Dinkelland;Overijssel;https://www.dinkelland.nl
67;GM0221;Doesburg                                          ;Doesburg                                          ;Gelderland                                        ;67;Doesburg;Gelderland;https://www.doesburg.nl
68;GM0222;Doetinchem                                        ;Doetinchem                                        ;Gelderland                                        ;68;Doetinchem;Gelderland;https://www.doetinchem.nl
69;GM0766;Dongen                                            ;Dongen                                            ;Noord-Brabant                                     ;69;Dongen;Noord-Brabant;https://www.dongen.nl
70;GM0505;Dordrecht                                         ;Dordrecht                                         ;Zuid-Holland                                      ;70;Dordrecht;Zuid-Holland;https://www.dordrecht.nl
71;GM0498;Drechterland                                      ;Drechterland                                      ;Noord-Holland                                     ;71;Drechterland;Noord-Holland;https://www.drechterland.nl
72;GM1719;Drimmelen                                         ;Drimmelen                                         ;Noord-Brabant                                     ;72;Drimmelen;Noord-Brabant;https://www.drimmelen.nl
73;GM0303;Dronten                                           ;Dronten                                           ;Flevoland                                         ;73;Dronten;Flevoland;https://www.dronten.nl
74;GM0225;Druten                                            ;Druten                                            ;Gelderland                                        ;74;Druten;Gelderland;https://www.druten.nl
75;GM0226;Duiven                                            ;Duiven                                            ;Gelderland                                        ;75;Duiven;Gelderland;https://www.duiven.nl
76;GM1711;Echt-Susteren                                     ;Echt+Susteren                                     ;Limburg                                           ;76;Echt-Susteren;Limburg;https://www.echt-susteren.nl
77;GM0385;Edam-Volendam                                     ;Edam+Volendam                                     ;Noord-Holland                                     ;77;Edam-Volendam;Noord-Holland;https://www.edam-volendam.nl
78;GM0228;Ede                                               ;Ede                                               ;Gelderland                                        ;78;Ede;Gelderland;https://www.ede.nl
79;GM0317;Eemnes                                            ;Eemnes                                            ;Utrecht                                           ;79;Eemnes;Utrecht;https://www.eemnes.nl
80;GM1979;Eemsdelta                                         ;Eemsdelta                                         ;Groningen                                         ;80;Eemsdelta;Groningen;https://www.eemsdelta.nl
81;GM0770;Eersel                                            ;Eersel                                            ;Noord-Brabant                                     ;81;Eersel;Noord-Brabant;https://www.eersel.nl
82;GM1903;Eijsden-Margraten                                 ;Eijsden+Margraten                                 ;Limburg                                           ;82;Eijsden-Margraten;Limburg;https://www.eijsden-margraten.nl
83;GM0772;Eindhoven                                         ;Eindhoven                                         ;Noord-Brabant                                     ;83;Eindhoven;Noord-Brabant;https://www.eindhoven.nl
84;GM0230;Elburg                                            ;Elburg                                            ;Gelderland                                        ;84;Elburg;Gelderland;https://www.elburg.nl
85;GM0114;Emmen                                             ;Emmen                                             ;Drenthe                                           ;85;Emmen;Drenthe;https://www.emmen.nl
86;GM0388;Enkhuizen                                         ;Enkhuizen                                         ;Noord-Holland                                     ;86;Enkhuizen;Noord-Holland;https://www.enkhuizen.nl
87;GM0153;Enschede                                          ;Enschede                                          ;Overijssel                                        ;87;Enschede;Overijssel;https://www.enschede.nl
88;GM0232;Epe                                               ;Epe                                               ;Gelderland                                        ;88;Epe;Gelderland;https://www.epe.nl
89;GM0233;Ermelo                                            ;Ermelo                                            ;Gelderland                                        ;89;Ermelo;Gelderland;https://www.ermelo.nl
90;GM0777;Etten-Leur                                        ;Etten+Leur                                        ;Noord-Brabant                                     ;90;Etten-Leur;Noord-Brabant;https://www.etten-leur.nl
91;GM1940;De Fryske Marren                                  ;Fryske Marren De                                  ;Fryslân                                           ;91;De Fryske Marren;Fryslân;https://www.defryskemarren.nl
92;GM0779;Geertruidenberg                                   ;Geertruidenberg                                   ;Noord-Brabant                                     ;92;Geertruidenberg;Noord-Brabant;https://www.geertruidenberg.nl
93;GM1771;Geldrop-Mierlo                                    ;Geldrop+Mierlo                                    ;Noord-Brabant                                     ;93;Geldrop-Mierlo;Noord-Brabant;https://www.geldrop-mierlo.nl
94;GM1652;Gemert-Bakel                                      ;Gemert+Bakel                                      ;Noord-Brabant                                     ;94;Gemert-Bakel;Noord-Brabant;https://www.gemert-bakel.nl
95;GM0907;Gennep                                            ;Gennep                                            ;Limburg                                           ;95;Gennep;Limburg;https://www.gennep.nl
96;GM0784;Gilze en Rijen                                    ;Gilze en Rijen                                    ;Noord-Brabant                                     ;96;Gilze en Rijen;Noord-Brabant;https://www.gilzerijen.nl
97;GM1924;Goeree-Overflakkee                                ;Goeree+Overflakkee                                ;Zuid-Holland                                      ;97;Goeree-Overflakkee;Zuid-Holland;https://www.goeree-overflakkee.nl
98;GM0664;Goes                                              ;Goes                                              ;Zeeland                                           ;98;Goes;Zeeland;https://www.goes.nl
99;GM0785;Goirle                                            ;Goirle                                            ;Noord-Brabant                                     ;99;Goirle;Noord-Brabant;https://www.goirle.nl
100;GM1942;Gooise Meren                                      ;Gooise Meren                                      ;Noord-Holland                                     ;100;Gooise Meren;Noord-Holland;https://www.gooisemeren.nl
101;GM0512;Gorinchem                                         ;Gorinchem                                         ;Zuid-Holland                                      ;101;Gorinchem;Zuid-Holland;https://www.gorinchem.nl
102;GM0513;Gouda                                             ;Gouda                                             ;Zuid-Holland                                      ;102;Gouda;Zuid-Holland;https://www.gouda.nl
103;GM0518;'s-Gravenhage                                     ;Gravenhage 's-                                    ;Zuid-Holland                                      ;103;'s-Gravenhage;Zuid-Holland;https://www.denhaag.nl
104;GM0014;Groningen                                         ;Groningen                                         ;Groningen                                         ;104;Groningen;Groningen;https://gemeente.groningen.nl
105;GM1729;Gulpen-Wittem                                     ;Gulpen+Wittem                                     ;Limburg                                           ;105;Gulpen-Wittem;Limburg;https://www.gulpen-wittem.nl
106;GM0158;Haaksbergen                                       ;Haaksbergen                                       ;Overijssel                                        ;106;Haaksbergen;Overijssel;https://www.haaksbergen.nl
107;GM0392;Haarlem                                           ;Haarlem                                           ;Noord-Holland                                     ;107;Haarlem;Noord-Holland;https://www.haarlem.nl
108;GM0394;Haarlemmermeer                                    ;Haarlemmermeer                                    ;Noord-Holland                                     ;108;Haarlemmermeer;Noord-Holland;https://www.haarlemmermeer.nl
109;GM1655;Halderberge                                       ;Halderberge                                       ;Noord-Brabant                                     ;109;Halderberge;Noord-Brabant;https://www.halderberge.nl
110;GM0160;Hardenberg                                        ;Hardenberg                                        ;Overijssel                                        ;110;Hardenberg;Overijssel;https://www.hardenberg.nl
111;GM0243;Harderwijk                                        ;Harderwijk                                        ;Gelderland                                        ;111;Harderwijk;Gelderland;https://www.harderwijk.nl
112;GM0523;Hardinxveld-Giessendam                            ;Hardinxveld+Giessendam                            ;Zuid-Holland                                      ;112;Hardinxveld-Giessendam;Zuid-Holland;https://www.hardinxveld-giessendam.nl
